checked_date,set_name,hierarchy,object,id,pair,x,scope_cell,tail_after_x,step,key,training_rows,training_open_rate,predicted,actual,text
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-131,1172.1,595-575,575,Harappa|SEAL:R|cuboid-convex|Steatite,794 000,x,575,5,0.000000,terminal,open,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-141,1182.1,233-235,235,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-032-900-003-070-002-233-235+
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-272,1296.1,305-032,032,Harappa|SEAL:S|square|Steatite,904,x,032,6,0.333333,terminal,open,+740-585-017-240-002-305-032-904+
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-385,1399.1,595-632,632,Harappa|SEAL:S|square|Steatite,354 850,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+000-220-002-595-632-354-850+
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-389,1402.1,031-480,480,Harappa|SEAL:S|square|-,625,global,*,269,0.368030,terminal,open,+740-405-590-235-002-031-480-625+
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-455,1445.1,172-032,032,Harappa|SEAL:S|square|Steatite,<END>,x,032,6,0.500000,open,terminal,+520-033-705-002-172-032+
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-486,1474.1,000-861,861,Harappa|SEAL:S|square|Steatite,031,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,]002-000-861-031+
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-598,1541.2,435-255,255,Harappa|SEAL:S|square|-,777,global,*,269,0.368030,terminal,open,+740-639-240-002-435-255-777+
2026-05-31,collapse_scope_pair_tail,x_then_scope,H-611,1551.1,125-590,590,Harappa|SEAL:S|square|Steatite,<END>,x,590,6,0.666667,open,terminal,+527-550-002-125-590+
2026-05-31,collapse_scope_pair_tail,scope_only_null,Blk-1,19.1,297-350,350,Bala-kot|SEAL:S|square|-,125 413,global,*,269,0.368030,terminal,open,+226-003-002-297-350-125-413+
2026-05-31,collapse_scope_pair_tail,scope_only_null,B-1,27.1,368-550,550,Banawali|SEAL:S|square|Steatite,821,global,*,269,0.368030,terminal,open,+090-740-220-002-368-550-821+
2026-05-31,collapse_scope_pair_tail,scope_only_null,C-57,82.1,296-530,530,Chanhu-daro|SEAL:S|square|Steatite,000,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+740-032-840-002-296-530-000+
2026-05-31,collapse_scope_pair_tail,scope_only_null,C-1,89.1,365-287,287,Chanhu-daro|SEAL:S|square|Steatite,034,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+031-840-140-740-101-002-365-287-034+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-1874,388.2,220-455,455,Harappa|TAB:B|rectangular|Faience,000,global,*,269,0.368030,terminal,open,+002-220-455-000+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-1671,513.1,455-420,420,Harappa|SEAL:S|square|-,032,global,*,269,0.368030,terminal,open,+740-061-002-455-420-032+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-1706,623.1,293-360,360,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-003-002-293-360+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-3,1064.1,611-615,615,Harappa|SEAL:S|square|Steatite,703,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+740-585-017-002-611-615-703+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-31,1091.1,365-374,374,Harappa|SEAL:S|square|Steatite,000,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+740-100-415-240-002-365-374-000+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-74,1132.1,610-125,125,Harappa|SEAL:S|square|Steatite,032,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+002-610-125-032+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-82,1139.1,220-455,455,Harappa|SEAL:S|square|Steatite,741,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+390-017-002-220-455-741+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-129,1170.1,861-244,244,Harappa|SEAL:R|cuboid-convex|Steatite,165,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-130,1171.1,595-812,812,Harappa|SEAL:R|rectangular|-,125 717,global,*,269,0.368030,terminal,open,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-131,1172.1,595-575,575,Harappa|SEAL:R|cuboid-convex|Steatite,794 000,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-141,1182.1,233-235,235,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-032-900-003-070-002-233-235+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-268,1293.1,220-455,455,Harappa|SEAL:S|square|Steatite,920,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-272,1296.1,305-032,032,Harappa|SEAL:S|square|Steatite,904,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+740-585-017-240-002-305-032-904+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-385,1399.1,595-632,632,Harappa|SEAL:S|square|Steatite,354 850,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+000-220-002-595-632-354-850+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-389,1402.1,031-480,480,Harappa|SEAL:S|square|-,625,global,*,269,0.368030,terminal,open,+740-405-590-235-002-031-480-625+
2026-05-31,collapse_scope_pair_tail,scope_only_null,H-464,1452.1,798-590,590,Harappa|SEAL:S|square|Steatite,032,scope,Harappa|SEAL:S|square|Steatite,27,0.296296,terminal,open,+000-176-002-798-590-032+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,Blk-1,19.1,297-350,350,Bala-kot|SEAL:S|square|-,125 413,x,350,5,0.400000,terminal,open,+226-003-002-297-350-125-413+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,B-1,27.1,368-550,550,Banawali|SEAL:S|square|Steatite,821,x,550,3,0.333333,terminal,open,+090-740-220-002-368-550-821+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,C-1,89.1,365-287,287,Chanhu-daro|SEAL:S|square|Steatite,034,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+031-840-140-740-101-002-365-287-034+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,-,216.1,257-550,550,Baror|SEAL:S|square|Steatite,<END>,x,550,3,0.666667,open,terminal,+000-000-002-257-550+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-1033,293.1,862-032,032,Harappa|SEAL:S|square|Steatite,<END>,x,032,6,0.500000,open,terminal,+220-500-520-002-862-032+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-1671,513.1,455-420,420,Harappa|SEAL:S|square|-,032,global,*,242,0.388430,terminal,open,+740-061-002-455-420-032+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-1706,623.1,293-360,360,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-003-002-293-360+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-3,1064.1,611-615,615,Harappa|SEAL:S|square|Steatite,703,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-585-017-002-611-615-703+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-31,1091.1,365-374,374,Harappa|SEAL:S|square|Steatite,000,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-100-415-240-002-365-374-000+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-55,1114.1,861-125,125,Harappa|SEAL:S|square|Steatite,<END>,x,125,9,0.888889,open,terminal,+390-004-002-861-125+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-129,1170.1,861-244,244,Harappa|SEAL:R|cuboid-convex|Steatite,165,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-130,1171.1,595-812,812,Harappa|SEAL:R|rectangular|-,125 717,global,*,242,0.388430,terminal,open,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-131,1172.1,595-575,575,Harappa|SEAL:R|cuboid-convex|Steatite,794 000,x,575,4,0.000000,terminal,open,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-141,1182.1,233-235,235,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-032-900-003-070-002-233-235+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-272,1296.1,305-032,032,Harappa|SEAL:S|square|Steatite,904,x,032,6,0.333333,terminal,open,+740-585-017-240-002-305-032-904+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-385,1399.1,595-632,632,Harappa|SEAL:S|square|Steatite,354 850,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+000-220-002-595-632-354-850+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-389,1402.1,031-480,480,Harappa|SEAL:S|square|-,625,global,*,242,0.388430,terminal,open,+740-405-590-235-002-031-480-625+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-455,1445.1,172-032,032,Harappa|SEAL:S|square|Steatite,<END>,x,032,6,0.500000,open,terminal,+520-033-705-002-172-032+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-486,1474.1,000-861,861,Harappa|SEAL:S|square|Steatite,031,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,]002-000-861-031+
2026-05-31,collapse_pair_tail,grammar_pair_x_scope,H-598,1541.2,435-255,255,Harappa|SEAL:S|square|-,777,global,*,242,0.388430,terminal,open,+740-639-240-002-435-255-777+
2026-05-31,collapse_pair_tail,scope_first_null,Blk-1,19.1,297-350,350,Bala-kot|SEAL:S|square|-,125 413,x,350,5,0.400000,terminal,open,+226-003-002-297-350-125-413+
2026-05-31,collapse_pair_tail,scope_first_null,B-1,27.1,368-550,550,Banawali|SEAL:S|square|Steatite,821,x,550,3,0.333333,terminal,open,+090-740-220-002-368-550-821+
2026-05-31,collapse_pair_tail,scope_first_null,C-57,82.1,296-530,530,Chanhu-daro|SEAL:S|square|Steatite,000,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+740-032-840-002-296-530-000+
2026-05-31,collapse_pair_tail,scope_first_null,C-1,89.1,365-287,287,Chanhu-daro|SEAL:S|square|Steatite,034,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+031-840-140-740-101-002-365-287-034+
2026-05-31,collapse_pair_tail,scope_first_null,-,216.1,257-550,550,Baror|SEAL:S|square|Steatite,<END>,x,550,3,0.666667,open,terminal,+000-000-002-257-550+
2026-05-31,collapse_pair_tail,scope_first_null,H-1033,293.1,862-032,032,Harappa|SEAL:S|square|Steatite,<END>,scope_x,Harappa|SEAL:S|square|Steatite|032,2,0.500000,open,terminal,+220-500-520-002-862-032+
2026-05-31,collapse_pair_tail,scope_first_null,H-1671,513.1,455-420,420,Harappa|SEAL:S|square|-,032,global,*,242,0.388430,terminal,open,+740-061-002-455-420-032+
2026-05-31,collapse_pair_tail,scope_first_null,H-1706,623.1,293-360,360,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-003-002-293-360+
2026-05-31,collapse_pair_tail,scope_first_null,H-3,1064.1,611-615,615,Harappa|SEAL:S|square|Steatite,703,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-585-017-002-611-615-703+
2026-05-31,collapse_pair_tail,scope_first_null,H-31,1091.1,365-374,374,Harappa|SEAL:S|square|Steatite,000,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-100-415-240-002-365-374-000+
2026-05-31,collapse_pair_tail,scope_first_null,H-74,1132.1,610-125,125,Harappa|SEAL:S|square|Steatite,032,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+002-610-125-032+
2026-05-31,collapse_pair_tail,scope_first_null,H-82,1139.1,220-455,455,Harappa|SEAL:S|square|Steatite,741,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+390-017-002-220-455-741+
2026-05-31,collapse_pair_tail,scope_first_null,H-129,1170.1,861-244,244,Harappa|SEAL:R|cuboid-convex|Steatite,165,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,collapse_pair_tail,scope_first_null,H-130,1171.1,595-812,812,Harappa|SEAL:R|rectangular|-,125 717,global,*,242,0.388430,terminal,open,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,collapse_pair_tail,scope_first_null,H-131,1172.1,595-575,575,Harappa|SEAL:R|cuboid-convex|Steatite,794 000,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,collapse_pair_tail,scope_first_null,H-141,1182.1,233-235,235,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-032-900-003-070-002-233-235+
2026-05-31,collapse_pair_tail,scope_first_null,H-268,1293.1,220-455,455,Harappa|SEAL:S|square|Steatite,920,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,collapse_pair_tail,scope_first_null,H-272,1296.1,305-032,032,Harappa|SEAL:S|square|Steatite,904,scope_x,Harappa|SEAL:S|square|Steatite|032,2,0.000000,terminal,open,+740-585-017-240-002-305-032-904+
2026-05-31,collapse_pair_tail,scope_first_null,H-385,1399.1,595-632,632,Harappa|SEAL:S|square|Steatite,354 850,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+000-220-002-595-632-354-850+
2026-05-31,collapse_pair_tail,scope_first_null,H-389,1402.1,031-480,480,Harappa|SEAL:S|square|-,625,global,*,242,0.388430,terminal,open,+740-405-590-235-002-031-480-625+
2026-05-31,collapse_pair_tail,x_then_scope,Blk-1,19.1,297-350,350,Bala-kot|SEAL:S|square|-,125 413,x,350,5,0.400000,terminal,open,+226-003-002-297-350-125-413+
2026-05-31,collapse_pair_tail,x_then_scope,B-1,27.1,368-550,550,Banawali|SEAL:S|square|Steatite,821,x,550,3,0.333333,terminal,open,+090-740-220-002-368-550-821+
2026-05-31,collapse_pair_tail,x_then_scope,C-1,89.1,365-287,287,Chanhu-daro|SEAL:S|square|Steatite,034,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+031-840-140-740-101-002-365-287-034+
2026-05-31,collapse_pair_tail,x_then_scope,-,216.1,257-550,550,Baror|SEAL:S|square|Steatite,<END>,x,550,3,0.666667,open,terminal,+000-000-002-257-550+
2026-05-31,collapse_pair_tail,x_then_scope,H-1033,293.1,862-032,032,Harappa|SEAL:S|square|Steatite,<END>,x,032,6,0.500000,open,terminal,+220-500-520-002-862-032+
2026-05-31,collapse_pair_tail,x_then_scope,H-1671,513.1,455-420,420,Harappa|SEAL:S|square|-,032,global,*,242,0.388430,terminal,open,+740-061-002-455-420-032+
2026-05-31,collapse_pair_tail,x_then_scope,H-1706,623.1,293-360,360,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-003-002-293-360+
2026-05-31,collapse_pair_tail,x_then_scope,H-3,1064.1,611-615,615,Harappa|SEAL:S|square|Steatite,703,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-585-017-002-611-615-703+
2026-05-31,collapse_pair_tail,x_then_scope,H-31,1091.1,365-374,374,Harappa|SEAL:S|square|Steatite,000,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-100-415-240-002-365-374-000+
2026-05-31,collapse_pair_tail,x_then_scope,H-55,1114.1,861-125,125,Harappa|SEAL:S|square|Steatite,<END>,x,125,9,0.888889,open,terminal,+390-004-002-861-125+
2026-05-31,collapse_pair_tail,x_then_scope,H-129,1170.1,861-244,244,Harappa|SEAL:R|cuboid-convex|Steatite,165,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,collapse_pair_tail,x_then_scope,H-130,1171.1,595-812,812,Harappa|SEAL:R|rectangular|-,125 717,global,*,242,0.388430,terminal,open,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,collapse_pair_tail,x_then_scope,H-131,1172.1,595-575,575,Harappa|SEAL:R|cuboid-convex|Steatite,794 000,x,575,4,0.000000,terminal,open,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,collapse_pair_tail,x_then_scope,H-141,1182.1,233-235,235,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-032-900-003-070-002-233-235+
2026-05-31,collapse_pair_tail,x_then_scope,H-272,1296.1,305-032,032,Harappa|SEAL:S|square|Steatite,904,x,032,6,0.333333,terminal,open,+740-585-017-240-002-305-032-904+
2026-05-31,collapse_pair_tail,x_then_scope,H-385,1399.1,595-632,632,Harappa|SEAL:S|square|Steatite,354 850,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+000-220-002-595-632-354-850+
2026-05-31,collapse_pair_tail,x_then_scope,H-389,1402.1,031-480,480,Harappa|SEAL:S|square|-,625,global,*,242,0.388430,terminal,open,+740-405-590-235-002-031-480-625+
2026-05-31,collapse_pair_tail,x_then_scope,H-455,1445.1,172-032,032,Harappa|SEAL:S|square|Steatite,<END>,x,032,6,0.500000,open,terminal,+520-033-705-002-172-032+
2026-05-31,collapse_pair_tail,x_then_scope,H-486,1474.1,000-861,861,Harappa|SEAL:S|square|Steatite,031,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,]002-000-861-031+
2026-05-31,collapse_pair_tail,x_then_scope,H-598,1541.2,435-255,255,Harappa|SEAL:S|square|-,777,global,*,242,0.388430,terminal,open,+740-639-240-002-435-255-777+
2026-05-31,collapse_pair_tail,scope_only_null,Blk-1,19.1,297-350,350,Bala-kot|SEAL:S|square|-,125 413,global,*,242,0.388430,terminal,open,+226-003-002-297-350-125-413+
2026-05-31,collapse_pair_tail,scope_only_null,B-1,27.1,368-550,550,Banawali|SEAL:S|square|Steatite,821,global,*,242,0.388430,terminal,open,+090-740-220-002-368-550-821+
2026-05-31,collapse_pair_tail,scope_only_null,C-57,82.1,296-530,530,Chanhu-daro|SEAL:S|square|Steatite,000,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+740-032-840-002-296-530-000+
2026-05-31,collapse_pair_tail,scope_only_null,C-1,89.1,365-287,287,Chanhu-daro|SEAL:S|square|Steatite,034,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+031-840-140-740-101-002-365-287-034+
2026-05-31,collapse_pair_tail,scope_only_null,H-1874,388.2,220-455,455,Harappa|TAB:B|rectangular|Faience,000,global,*,242,0.388430,terminal,open,+002-220-455-000+
2026-05-31,collapse_pair_tail,scope_only_null,H-1671,513.1,455-420,420,Harappa|SEAL:S|square|-,032,global,*,242,0.388430,terminal,open,+740-061-002-455-420-032+
2026-05-31,collapse_pair_tail,scope_only_null,H-1706,623.1,293-360,360,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-003-002-293-360+
2026-05-31,collapse_pair_tail,scope_only_null,H-3,1064.1,611-615,615,Harappa|SEAL:S|square|Steatite,703,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-585-017-002-611-615-703+
2026-05-31,collapse_pair_tail,scope_only_null,H-31,1091.1,365-374,374,Harappa|SEAL:S|square|Steatite,000,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-100-415-240-002-365-374-000+
2026-05-31,collapse_pair_tail,scope_only_null,H-74,1132.1,610-125,125,Harappa|SEAL:S|square|Steatite,032,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+002-610-125-032+
2026-05-31,collapse_pair_tail,scope_only_null,H-82,1139.1,220-455,455,Harappa|SEAL:S|square|Steatite,741,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+390-017-002-220-455-741+
2026-05-31,collapse_pair_tail,scope_only_null,H-129,1170.1,861-244,244,Harappa|SEAL:R|cuboid-convex|Steatite,165,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,collapse_pair_tail,scope_only_null,H-130,1171.1,595-812,812,Harappa|SEAL:R|rectangular|-,125 717,global,*,242,0.388430,terminal,open,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,collapse_pair_tail,scope_only_null,H-131,1172.1,595-575,575,Harappa|SEAL:R|cuboid-convex|Steatite,794 000,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,collapse_pair_tail,scope_only_null,H-141,1182.1,233-235,235,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-032-900-003-070-002-233-235+
2026-05-31,collapse_pair_tail,scope_only_null,H-268,1293.1,220-455,455,Harappa|SEAL:S|square|Steatite,920,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-585-017-033-706-803-002-220-455-920+
2026-05-31,collapse_pair_tail,scope_only_null,H-272,1296.1,305-032,032,Harappa|SEAL:S|square|Steatite,904,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+740-585-017-240-002-305-032-904+
2026-05-31,collapse_pair_tail,scope_only_null,H-385,1399.1,595-632,632,Harappa|SEAL:S|square|Steatite,354 850,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+000-220-002-595-632-354-850+
2026-05-31,collapse_pair_tail,scope_only_null,H-389,1402.1,031-480,480,Harappa|SEAL:S|square|-,625,global,*,242,0.388430,terminal,open,+740-405-590-235-002-031-480-625+
2026-05-31,collapse_pair_tail,scope_only_null,H-464,1452.1,798-590,590,Harappa|SEAL:S|square|Steatite,032,scope,Harappa|SEAL:S|square|Steatite,26,0.307692,terminal,open,+000-176-002-798-590-032+
2026-05-31,collapse_pair,grammar_pair_x_scope,Blk-1,19.1,297-350,350,Bala-kot|SEAL:S|square|-,125 413,x,350,5,0.400000,terminal,open,+226-003-002-297-350-125-413+
2026-05-31,collapse_pair,grammar_pair_x_scope,B-1,27.1,368-550,550,Banawali|SEAL:S|square|Steatite,821,x,550,3,0.333333,terminal,open,+090-740-220-002-368-550-821+
2026-05-31,collapse_pair,grammar_pair_x_scope,C-1,89.1,365-287,287,Chanhu-daro|SEAL:S|square|Steatite,034,scope,Chanhu-daro|SEAL:S|square|Steatite,5,0.200000,terminal,open,+031-840-140-740-101-002-365-287-034+
2026-05-31,collapse_pair,grammar_pair_x_scope,-,216.1,257-550,550,Baror|SEAL:S|square|Steatite,<END>,x,550,3,0.666667,open,terminal,+000-000-002-257-550+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-1033,293.1,862-032,032,Harappa|SEAL:S|square|Steatite,<END>,x,032,6,0.500000,open,terminal,+220-500-520-002-862-032+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-1874,388.2,220-455,455,Harappa|TAB:B|rectangular|Faience,000,x,455,3,0.333333,terminal,open,+002-220-455-000+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-1671,513.1,455-420,420,Harappa|SEAL:S|square|-,032,global,*,230,0.360870,terminal,open,+740-061-002-455-420-032+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-1706,623.1,293-360,360,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-003-002-293-360+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-3,1064.1,611-615,615,Harappa|SEAL:S|square|Steatite,703,scope,Harappa|SEAL:S|square|Steatite,24,0.250000,terminal,open,+740-585-017-002-611-615-703+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-31,1091.1,365-374,374,Harappa|SEAL:S|square|Steatite,000,scope,Harappa|SEAL:S|square|Steatite,24,0.250000,terminal,open,+740-100-415-240-002-365-374-000+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-55,1114.1,861-125,125,Harappa|SEAL:S|square|Steatite,<END>,x,125,6,0.833333,open,terminal,+390-004-002-861-125+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-129,1170.1,861-244,244,Harappa|SEAL:R|cuboid-convex|Steatite,165,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.333333,terminal,open,+409-061-740-235-220-031-002-861-244-165+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-130,1171.1,595-812,812,Harappa|SEAL:R|rectangular|-,125 717,global,*,230,0.360870,terminal,open,+409-032-845-033-705-231-806-002-595-812-125-717+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-131,1172.1,595-575,575,Harappa|SEAL:R|cuboid-convex|Steatite,794 000,x,575,4,0.000000,terminal,open,+740-032-840-233-240-033-706-055-002-595-575-794-000+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-141,1182.1,233-235,235,Harappa|SEAL:R|cuboid-convex|Steatite,<END>,scope,Harappa|SEAL:R|cuboid-convex|Steatite,3,0.666667,open,terminal,+405-032-900-003-070-002-233-235+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-272,1296.1,305-032,032,Harappa|SEAL:S|square|Steatite,904,x,032,6,0.333333,terminal,open,+740-585-017-240-002-305-032-904+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-385,1399.1,595-632,632,Harappa|SEAL:S|square|Steatite,354 850,scope,Harappa|SEAL:S|square|Steatite,24,0.250000,terminal,open,+000-220-002-595-632-354-850+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-389,1402.1,031-480,480,Harappa|SEAL:S|square|-,625,global,*,230,0.360870,terminal,open,+740-405-590-235-002-031-480-625+
2026-05-31,collapse_pair,grammar_pair_x_scope,H-455,1445.1,172-032,032,Harappa|SEAL:S|square|Steatite,<END>,x,032,6,0.500000,open,terminal,+520-033-705-002-172-032+
